-1.9867E+04	2.9840E-17	2.0500E-17
-1.9717E+04	2.8314E-17	2.0500E-17
-1.9566E+04	1.0123E-17	2.0500E-17
-1.9415E+04	1.8738E-17	2.0500E-17
-1.9265E+04	-2.7485E-18	2.0500E-17
-1.9114E+04	2.6800E-17	2.0500E-17
-1.8963E+04	3.4505E-17	2.0500E-17
-1.8813E+04	2.0657E-17	2.0500E-17
-1.8662E+04	4.0337E-18	2.0500E-17
-1.8512E+04	6.7846E-18	2.0500E-17
-1.8361E+04	3.0140E-17	2.0500E-17
-1.8210E+04	3.2688E-17	2.0500E-17
-1.8060E+04	-2.3578E-17	2.0500E-17
-1.7909E+04	-1.4091E-17	2.0500E-17
-1.7759E+04	3.2272E-19	2.0500E-17
-1.7608E+04	4.2517E-17	2.0500E-17
-1.7457E+04	3.3847E-18	2.0500E-17
-1.7307E+04	2.3516E-17	2.0500E-17
-1.7156E+04	3.7879E-17	2.0500E-17
-1.7005E+04	2.2460E-17	2.0500E-17
-1.6855E+04	2.2059E-17	2.0500E-17
-1.6704E+04	3.2776E-17	2.0500E-17
-1.6554E+04	5.7065E-17	2.0500E-17
-1.6403E+04	4.8539E-17	2.0500E-17
-1.6252E+04	5.3141E-17	2.0500E-17
-1.6102E+04	4.6116E-17	2.0500E-17
-1.5951E+04	6.8783E-17	2.0500E-17
-1.5800E+04	6.8309E-17	2.0500E-17
-1.5650E+04	5.6179E-17	2.0500E-17
-1.5499E+04	6.8966E-17	2.0500E-17
-1.5349E+04	8.3940E-17	2.0500E-17
-1.5198E+04	1.0662E-16	2.0500E-17
-1.5047E+04	1.0740E-16	2.0500E-17
-1.4897E+04	1.2164E-16	2.0500E-17
-1.4746E+04	1.0136E-16	2.0500E-17
-1.4596E+04	1.4258E-16	2.0500E-17
-1.4445E+04	1.1659E-16	2.0500E-17
-1.4294E+04	1.0297E-16	2.0500E-17
-1.4144E+04	9.4023E-17	2.0500E-17
-1.3993E+04	1.2289E-16	2.0500E-17
-1.3842E+04	1.2556E-16	2.0500E-17
-1.3692E+04	1.0692E-16	2.0500E-17
-1.3541E+04	7.3740E-17	2.0500E-17
-1.3391E+04	6.4776E-17	2.0500E-17
-1.3240E+04	8.4397E-17	2.0500E-17
